Name,ID,URL,Downloads,rating
Pancakeswap Web3 Wallet,cfbffdcooklibppdkabmhcigoiagnpcm,https://chromewebstore.google.com/detail/pancakeswap-web3-wallet/cfbffdcooklibppdkabmhcigoiagnpcm,13,
BLOCX Crypto Wallet | Web3,iigicjlhjlaohpnnhkdanpbejkaigimi,https://chromewebstore.google.com/detail/blocx-crypto-wallet-web3/iigicjlhjlaohpnnhkdanpbejkaigimi,210,5.0
ION Wallet,hfajfpbjlmembfdlhakjmefnbhjddofb,https://chromewebstore.google.com/detail/ion-wallet/hfajfpbjlmembfdlhakjmefnbhjddofb,10000,4.4
WalletX | A Gasless Smart Wallet,mdjjoodeandllhefapdpnffjolechflh,https://chromewebstore.google.com/detail/walletx-a-gasless-smart-w/mdjjoodeandllhefapdpnffjolechflh,276,5.0
Binance Wallet,cadiboklkpojfamcoggejbbdjcoiljjk,https://chromewebstore.google.com/detail/binance-wallet/cadiboklkpojfamcoggejbbdjcoiljjk,70000,4.7
CoinStart Wallet,iagkjnocbkjeohadeimlkaofjpilhpfh,https://chromewebstore.google.com/detail/coinstart-wallet/iagkjnocbkjeohadeimlkaofjpilhpfh,30,
Ex Wallet,bljkmhofgchldapdpdfbfglohfffdgfj,https://chromewebstore.google.com/detail/ex-wallet/bljkmhofgchldapdpdfbfglohfffdgfj,24,5.0
Firefly Walletbook: Save & Share Web3 Address,nepambnplkbkfadabokfhlokbkemmden,https://chromewebstore.google.com/detail/firefly-walletbook-save-s/nepambnplkbkfadabokfhlokbkemmden,36,4.8
Lemoon.BTC,acienepicfbknhjfmjabffcojeckegag,https://chromewebstore.google.com/detail/lemoonbtc/acienepicfbknhjfmjabffcojeckegag,5,
Cyclone Wallet,caplndhphkmgognmgdeeelefmccbgemk,https://chromewebstore.google.com/detail/cyclone-wallet/caplndhphkmgognmgdeeelefmccbgemk,51,
Ai Wallet - Сhat Crypto,clfneophpjlggkflcdmdgbijnegbbcio,https://chromewebstore.google.com/detail/ai-wallet-%D1%81hat-crypto/clfneophpjlggkflcdmdgbijnegbbcio,29,5.0
Vanta Wallet,modjfdjcodmehnpccdjngmdfajggaoeh,https://chromewebstore.google.com/detail/vanta-wallet/modjfdjcodmehnpccdjngmdfajggaoeh,151,5.0
Gero Dashboard,bgpipimickeadkjlklgciifhnalhdjhe,https://chromewebstore.google.com/detail/gero-dashboard/bgpipimickeadkjlklgciifhnalhdjhe,10000,4.6
Safe Wallet Extension,cdepnbljkpleklgllnefpdnffcgphago,https://chromewebstore.google.com/detail/safe-wallet-extension/cdepnbljkpleklgllnefpdnffcgphago,39,5.0
AIN Wallet,hbdheoebpgogdkagfojahleegjfkhkpl,https://chromewebstore.google.com/detail/ain-wallet/hbdheoebpgogdkagfojahleegjfkhkpl,418,4.6
Unstoppable Domains,beelkklmblgdljamcmoffgfbdddfpnnl,https://chromewebstore.google.com/detail/unstoppable-domains/beelkklmblgdljamcmoffgfbdddfpnnl,9000,3.9
Meta Earth Wallet,ifedpjnndppciiodbhmaohidoocmiomp,https://chromewebstore.google.com/detail/meta-earth-wallet/ifedpjnndppciiodbhmaohidoocmiomp,2000,4.8
Qastle Wallet,ajafaiinalikbajcekgobhcheniojeoi,https://chromewebstore.google.com/detail/qastle-wallet/ajafaiinalikbajcekgobhcheniojeoi,27,5.0
Uniton - TON (Toncoin) Wallet,cdpdjfhimjdmbakdbabcklagceoikifg,https://chromewebstore.google.com/detail/uniton-ton-toncoin-wallet/cdpdjfhimjdmbakdbabcklagceoikifg,97,4.0
Grind Wallet,homnkdmbblppiocmjpilekoeppjdhmmn,https://chromewebstore.google.com/detail/grind-wallet/homnkdmbblppiocmjpilekoeppjdhmmn,66,5.0
Decane Wallet,ogphcpbegajkgjdfdlibiokeafdndbfo,https://chromewebstore.google.com/detail/decane-wallet/ogphcpbegajkgjdfdlibiokeafdndbfo,14,5.0
Kryptic Wallet,jgfamjaigogakcepeknpemmphlfjoohm,https://chromewebstore.google.com/detail/kryptic-wallet/jgfamjaigogakcepeknpemmphlfjoohm,7,
SEC — Web3 Wallet,bdijklnnlnbihcekklljfpfmbbooaepe,https://chromewebstore.google.com/detail/sec-%E2%80%94-web3-wallet/bdijklnnlnbihcekklljfpfmbbooaepe,9,5.0
Shadow Sui Wallet Extension,bnkpbiknhjgaapiihlcjdohegaobiakd,https://chromewebstore.google.com/detail/shadow-sui-wallet-extensi/bnkpbiknhjgaapiihlcjdohegaobiakd,279,5.0
Cyclone Wallet,cpjdcciedjaojglnebjpbdmmmfplggkf,https://chromewebstore.google.com/detail/cyclone-wallet/cpjdcciedjaojglnebjpbdmmmfplggkf,3,
Cobalt,hekbjgfncacdinlajhgiakpaieajpfph,https://chromewebstore.google.com/detail/cobalt/hekbjgfncacdinlajhgiakpaieajpfph,3000,4.1
Dlicom,mbhpbeaplpkadefjmpbnlkomdhlomiec,https://chromewebstore.google.com/detail/dlicom/mbhpbeaplpkadefjmpbnlkomdhlomiec,7,
PIP,icblpoalghoakidcjiheabnkijnklhhe,https://chromewebstore.google.com/detail/pip/icblpoalghoakidcjiheabnkijnklhhe,10000,4.2
x.tech,cglifmcjlhgcdfeejnopighgchncphjm,https://chromewebstore.google.com/detail/xtech/cglifmcjlhgcdfeejnopighgchncphjm,421,5.0
LVS Wallet Extension,ddailkaipngnogdfdfnhlldfdkgfeoao,https://chromewebstore.google.com/detail/lvs-wallet-extension/ddailkaipngnogdfdfnhlldfdkgfeoao,,5.0
OrdPay Wallet,jfflgdhkeohhkelibbefdcgjijppkdeb,https://chromewebstore.google.com/detail/ordpay-wallet/jfflgdhkeohhkelibbefdcgjijppkdeb,11,5.0
Chainsaw,bmlapmanjnigldkoejhbkbjllabigaij,https://chromewebstore.google.com/detail/chainsaw/bmlapmanjnigldkoejhbkbjllabigaij,10,
Zedra Wallet,pbeefngmcchkcibdodceimammkigfanl,https://chromewebstore.google.com/detail/zedra-wallet/pbeefngmcchkcibdodceimammkigfanl,21,5.0
Dash Platform Extension,odmphbcnlldggfhcpdjgnlhbehoicdnf,https://chromewebstore.google.com/detail/dash-platform-extension/odmphbcnlldggfhcpdjgnlhbehoicdnf,25,5.0
